,Duration,Pulse,Maxpulse,Calories
0,60,110,130,409.1
1,60,117,145,479.0
2,60,103,135,340.0
5,60,102,127,300.0
6,60,110,136,374.0
9,60,98,124,269.0
10,60,103,147,329.3
11,60,100,120,250.7
12,60,106,128,345.3
13,60,104,132,379.3
14,60,98,123,275.0
15,60,98,120,215.2
16,60,100,120,300.0
18,60,103,123,323.0
20,60,108,131,364.2
22,60,130,101,300.0
24,60,102,126,334.5
25,60,100,120,250.0
26,60,92,118,241.0
27,60,103,132,
28,60,100,132,280.0
29,60,102,129,380.3
30,60,92,115,243.0
32,60,101,124,299.0
33,60,93,113,223.0
34,60,107,136,361.0
35,60,114,140,415.0
36,60,102,127,300.0
37,60,100,120,300.0
38,60,100,120,300.0
41,60,98,126,286.0
42,60,100,122,329.4
43,60,111,138,400.0
44,60,111,131,397.0
45,60,99,119,273.0
46,60,109,153,387.6
49,60,111,139,397.6
50,60,107,136,380.2
51,80,123,146,643.1
52,60,106,130,263.0
53,60,118,151,486.0
55,60,121,146,450.7
56,60,118,121,413.0
60,210,108,160,1376.0
61,160,110,137,1034.4
62,160,109,135,853.0
65,180,90,130,800.4
66,150,105,135,873.4
67,150,107,130,816.0
69,300,108,143,1500.2
70,150,97,129,1115.0
71,60,109,153,387.6
72,90,100,127,700.0
73,150,97,127,953.2
75,90,98,125,563.2
78,120,100,130,500.4
79,270,100,131,1729.0
83,120,100,130,500.0
87,120,100,157,1000.1
90,180,101,127,600.1
99,90,93,124,604.1
101,90,90,110,500.0
102,90,90,100,500.0
103,90,90,100,500.4
106,180,90,120,800.3
108,90,90,120,500.3
109,210,137,184,1860.4
110,60,102,124,325.2
114,60,108,131,367.6
115,60,108,151,351.7
116,60,116,141,443.0
117,60,97,122,277.4
118,60,105,125,
119,60,103,124,332.7
122,60,119,169,336.7
123,60,107,127,344.9
124,60,111,151,368.5
125,60,98,122,271.0
126,60,97,124,275.3
127,60,109,127,382.0
128,90,99,125,466.4
129,60,114,151,384.0
130,60,104,134,342.5
131,60,107,138,357.5
132,60,103,133,335.0
133,60,106,132,327.5
134,60,103,136,339.0
140,60,108,135,390.0
141,60,97,127,
144,60,136,170,470.2
146,60,107,136,400.0
147,60,112,146,361.9
149,60,110,150,409.4
150,60,106,134,343.0
151,60,109,129,353.2
152,60,109,138,374.0
154,60,105,128,328.0
155,60,111,151,368.5
156,60,97,131,270.4
157,60,100,120,270.4
158,60,114,150,382.8
164,60,105,140,290.8
165,60,110,145,300.0
166,60,115,145,310.2
167,75,120,150,320.4
168,75,125,150,330.4
